;Action;Name;Features;Service;Source;VR Instance;Destination;User;Schedule;QoS;IPS Policy;Usage
53;Pass Proxydyn;Allow-PROXYs-to-Internet;;Ref: HTTP+S , TCP  8443 , TCP  10443 , TCP  7083 , TCP  9981 , TCP  8002 , TCP  444 , TCP  89 , TCP  8000 , TCP  8080 , TCP  1445 , TCP  7800 , Ref: HTTPS+OHP , TCP  8771 , TCP  8440 , TCP  8449 , TCP  8482 , Ref: HTTPS-30443 , TCP  5250 , TCP  12010 , TCP  8004 , TCP  8008 , TCP  8100 , TCP  8200 , TCP  8400 , TCP  8888 , TCP  433 , TCP  3000 , TCP  60443 , Ref: FTP , TCP  8082 , TCP  3306 , TCP  10080 , TCP  9090 , TCP  6263 , TCP  8070 , TCP  9013 , TCP  9014 , Ref: Admin-Domain-Ports , TCP  5080 , TCP  3050 , TCP  8081 , TCP  5085 , TCP  5090 , TCP  43000 , TCP  42000 , TCP  8444 , TCP  4084 , TCP  5084 , TCP  643 , TCP  4443 , TCP  5002 , TCP  1194 , TCP  543 , Ref: TCP-4060 , Ref: TCP-4070 , Ref: TCP-6263 , Ref: TCP-6264 , TCP  8243 , Ref: Port-5081 , UDP  19302-19309 , Ref: Port-6619-OFTP2-EDI , Ref: Port-9444-IBM-Content-Navigator , Ref: Port-10101 , Ref: Port-3001 , Ref: Port-2025 , Ref: Port-5000 , Ref: Port-50000-J2EE-engine-HTTP TCP  10080, TCP  10101, TCP  10443, TCP  1194, TCP  12010, TCP  1445, TCP  2025, TCP  21, TCP  3000, TCP  3001, TCP  30443, TCP  3050, TCP  3306, TCP  389, TCP  4060, TCP  4070, TCP  4084, TCP  42000, TCP  43000, TCP  433, TCP  443, TCP  444, TCP  4443, TCP  464, TCP  49443, TCP  5000, TCP  50000, TCP  5002, TCP  5080, TCP  5081, TCP  5084, TCP  5085, TCP  5090, TCP  5250, TCP  53, TCP  543, TCP  60443, TCP  6263, TCP  6264, TCP  643, TCP  6619, TCP  7083, TCP  749, TCP  7800, TCP  80, TCP  8000, TCP  8002, TCP  8004, TCP  8008, TCP  8070, TCP  8080, TCP  8081, TCP  8082, TCP  8100, TCP  8200, TCP  8243, TCP  8400, TCP  8440, TCP  8443, TCP  8444, TCP  8449, TCP  8482, TCP  8771, TCP  88, TCP  8888, TCP  89, TCP  9013, TCP  9014, TCP  9090, TCP  9444, TCP  9981, UDP  19302-19309, UDP  389, UDP  464, UDP  53, UDP  749, UDP  88;Ref: h-172.16.250.20-DBSPRONUE01-Proxy1 , Ref: h-172.16.250.21-DBSPRONUE02-Proxy2 , 172.16.250.197 , 172.16.250.198 , Ref: h-172.16.250.191-tripxynur01 , Ref: h-172.16.250.193-mwipxynue01 , Ref: h-172.16.250.194-pumpxynue03 , Ref: h-172.16.250.196-ivgpxynur01 , Ref: h-172.16.250.190-OFFPXYNUR01 172.16.250.190, 172.16.250.191, 172.16.250.193, 172.16.250.194, 172.16.250.196, 172.16.250.197, 172.16.250.198, 172.16.250.20, 172.16.250.21;Source: default Destination: default;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Any ;Always ;No-Shaping ;Default ;
54;Pass Proxydyn;Allow-McAfee-GW-to-Internet-DNS;;DNS UDP  53;Ref: h-172.16.250.191-tripxynur01 172.16.250.191;Source: default Destination: default;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Any ;Always ;No-Shaping ;Default ;
55;Pass Proxydyn;Allow-McAfee-GW-to-Internet-FTP;;FTP TCP  21;Ref: h-172.16.250.196-ivgpxynur01 , Ref: h-172.16.250.193-mwipxynue01 , Ref: h-172.16.250.194-pumpxynue03 , Ref: h-172.16.250.191-tripxynur01 172.16.250.191, 172.16.250.193, 172.16.250.194, 172.16.250.196;Source: default Destination: default;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Any ;Always ;No-Shaping ;Default ;
56;Pass Proxydyn;Allow-DMZ-F5-to-Proxy;;ALL ALLIP, ECHO , TCP  *, TCP  21, TCP  512, TCP  513, TCP  514, UDP  *;net-172-16-250-DMZ-F5 172.16.250.0/24;Source: default Destination: default;194.145.239.1 ;Any ;Always ;No-Shaping ;Default ;
57;Pass Client;Allow-DMZ-ServertoSyslog;;Ref: SYSLOG , Ref: Port-514 TCP  514, UDP  514;net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;172.16.250.250 ;Any ;Always ;No-Shaping ;Default ;
58;Pass Client;DMZ-Beiks-to-Proxy-PAC;;ALL ALLIP, ECHO , TCP  *, TCP  21, TCP  512, TCP  513, TCP  514, UDP  *;172.16.250.111 ;Source: default Destination: default;194.145.239.11 ;Any ;Always ;No-Shaping ;Default ;
59;Pass Proxydyn;FTP-Astra;;FTP TCP  21;Ref: net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: h-212.56.225.59-ftp-Astra 212.56.225.59;Any ;Always ;No-Shaping ;Default ;
60;Pass Client;Allow-Loadbalancer-to-all-DNS-Server-Internet;;Ref: DNS UDP  53;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Any ;Always ;No-Shaping ;Default ;
61;Pass Client;Allow-DNS-aus-der-DMZ-auf-interne-DGBS-DNS-Server;;Ref: DNS , Ref: DNS-TCP TCP  53, UDP  53;net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: g-DNS-Serv 10.1.4.202, 10.1.4.203, 10.1.4.210, 10.1.4.211, 10.1.4.213, 10.9.0.10, 10.9.0.16;Any ;Always ;No-Shaping ;Default ;
62;Pass Client;Allow-Loadbancer-to-MWI-Mavosys;;Ref: HTTP , TCP  82 , TCP  84 TCP  80, TCP  82, TCP  84;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;Ref: h-10.112.40.51-web-gmc-mavosys , Ref: h-10.112.40.55-web-gmc-mavowatt , Ref: h-10.112.36.175-mwiiltnue01 10.112.36.175, 10.112.40.51, 10.112.40.55;Any ;Always ;No-Shaping ;Default ;
63;Pass Client;Allow-Loadbancer-to-MWI-EMC-Server;;Ref: HTTP TCP  80;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;Ref: h-10.112.40.205-MWI-EMC-WEB-Server 10.112.40.205;Any ;Always ;No-Shaping ;Default ;
64;Pass Client;Allow-Loadbancer-to-MWI-Lizenz-Server;;Ref: HTTP TCP  80;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;10.112.60.175 ;Any ;Always ;No-Shaping ;Default ;
65;Pass Client;Allow-iperf-TEST;;Ref: ALL ALLIP, ECHO , TCP  *, TCP  21, TCP  512, TCP  513, TCP  514, UDP  *;Ref: World 0.0.0.0/0;Source: default Destination: default;194.145.239.57 ;Any ;Always ;No-Shaping ;Default ;
66;Pass Client;Allow-Direkt-Webaccess-from-DG-NUE-neuer-Standort;;Ref: ALL ALLIP, ECHO , TCP  *, TCP  21, TCP  512, TCP  513, TCP  514, UDP  *;194.145.239.70 , 194.145.239.71 , 194.145.239.57;Source: default Destination: default;Ref: World 0.0.0.0/0;Any ;Always ;No-Shaping ;Default ;
67;Pass Client;Allow-Direkt-Webaccess-from-DMZ;;Ref: HTTP+S , Ref: Port-8088 , Ref: Port-8080 , Ref: Port-8081 TCP  443, TCP  80, TCP  8080, TCP  8081, TCP  8088;Ref: net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: World 0.0.0.0/0;Any ;Always ;No-Shaping ;Default ;
68;Pass Client;Allow-Internet-to-MWI-WebServer;;Ref: HTTPS TCP  443;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Source: default Destination: default;Ref: h-194.145.239.106-www-ftp.GMC-I 194.145.239.106;Any ;Always ;No-Shaping ;Default ;
69;Pass Original Source IP;allow-SAPRouter-to-consap-HR-Systeme;;Ref: SSH , Ref: Port-1443 TCP  1443, TCP  22;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: Same as Source;Ref: h-10.1.25.60-consaphcp , Ref: h-10.1.25.64-consaphct-shared-HR-SAP 10.1.25.60, 10.1.25.64;Any ;Always ;No-Shaping ;Default ;
70;Pass Client;Allow-HighPorts-from-FTP-to-World;;Ref: tcp-highports TCP  1024-65535;Ref: h-194.145.239.104-www-ftp.consinto , Ref: h-194.145.239.105-www-ftp.blaupunkt , Ref: h-194.145.239.106-www-ftp.GMC-I , Ref: h-194.145.239.38-ftp.grundig.de , Ref: h-194.145.239.76-as000337.thales-ims.de-ftp-Proxy 194.145.239.104, 194.145.239.105, 194.145.239.106, 194.145.239.38, 194.145.239.76;Source: default Destination: default;World 0.0.0.0/0;Any ;Always ;No-Shaping ;Default ;
71;Pass Client;Allow-HighPorts-from-FTP-to-World-Copy1;;Ref: tcp-highports TCP  1024-65535;net-10 10.0.0.0/8;Source: default Destination: default;Ref: h-194.145.239.38-ftp.grundig.de , Ref: h-194.145.239.104-www-ftp.consinto 194.145.239.104, 194.145.239.38;Any ;Always ;No-Shaping ;Default ;
72;Pass Client;Allow-HighPorts-from-FTP-to-World-Copy2;;Ref: tcp-highports TCP  1024-65535;10.113.3.11 ;Source: default Destination: default;Ref: h-194.145.239.62-tha-as000315 , Ref: h-194.145.239.61-tha-as000314 194.145.239.61, 194.145.239.62;Any ;Always ;No-Shaping ;Default ;
73;Pass Client;Allow-NETBIOS-from-DMZ-to-PDC;;Ref: MS-NETBIOS , Ref: WINRPC135 TCP  135, TCP  139, UDP  137, UDP  138;Ref: net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: g-WINS , Ref: h-10.1.2.181-tha-as000711 , Ref: h-10.6.16.2-tha-nafiler01 , Ref: h-10.1.2.110-tha-as000110 , Ref: h-10.1.2.111-tha-as000111 10.1.2.100, 10.1.2.109, 10.1.2.110, 10.1.2.111, 10.1.2.181, 10.6.16.2;Any ;Always ;No-Shaping ;Default ;
74;Pass Client;Allow-LDAP-from-DMZ-to-PDC;;Ref: LDAP TCP  389, UDP  389;Ref: net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: g-WINS , Ref: h-10.1.2.181-tha-as000711 , Ref: h-10.6.16.2-tha-nafiler01 , Ref: h-10.1.2.110-tha-as000110 , Ref: h-10.1.2.111-tha-as000111 10.1.2.100, 10.1.2.109, 10.1.2.110, 10.1.2.111, 10.1.2.181, 10.6.16.2;Any ;Always ;No-Shaping ;Default ;
75;Pass Client;Allow-Kerberos-from-DMZ-to-PDC;;UDP  88 kerberos , TCP  88 kerberos TCP  88, UDP  88;Ref: net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: g-WINS , Ref: h-10.1.2.181-tha-as000711 , Ref: h-10.6.16.2-tha-nafiler01 , Ref: h-10.1.2.110-tha-as000110 , Ref: h-10.1.2.111-tha-as000111 10.1.2.100, 10.1.2.109, 10.1.2.110, 10.1.2.111, 10.1.2.181, 10.6.16.2;Any ;Always ;No-Shaping ;Default ;
76;Pass Client;Allow-WIN-RPC-from-DMZ-to-PDC;;TCP  1025 WIN-RPC TCP  1025;Ref: net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: g-WINS , Ref: h-10.1.2.181-tha-as000711 , Ref: h-10.6.16.2-tha-nafiler01 , Ref: h-10.1.2.110-tha-as000110 , Ref: h-10.1.2.111-tha-as000111 10.1.2.100, 10.1.2.109, 10.1.2.110, 10.1.2.111, 10.1.2.181, 10.6.16.2;Any ;Always ;No-Shaping ;Default ;
77;Pass Client;Allow-NETBIOS-from-DMZ-to-WINS-Server;;Ref: MS-NETBIOS , Ref: WINRPC445 , Ref: NCP TCP  139, TCP  445, TCP  524, UDP  137, UDP  138;Ref: net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: h-10.1.2.100-tha-as000100 , Ref: h-10.1.2.109-tha-as000109 , Ref: h-10.1.2.110-tha-as000110 10.1.2.100, 10.1.2.109, 10.1.2.110;Any ;Always ;No-Shaping ;Default ;
78;Pass Client;Allow-Whois-from-DMZ-to-World;;whois TCP  43;net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;World 0.0.0.0/0;Any ;Always ;No-Shaping ;Default ;
79;Pass Client;Allow-NFS-from-DMZ-to-nimsrv-rz2;;Ref: nfs , Ref: rpcbind , Ref: rpcbind-tcp , Ref: udp-highports TCP , TCP  111, TCP  2049, UDP  1024-65353, UDP  111, UDP  2049;net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: h-10.1.25.119-tha-saprouter , Ref: h-10.1.25.219-nimsrv-rz3 10.1.25.119, 10.1.25.219;Any ;Always ;No-Shaping ;Default ;
80;Pass Original Source IP;Allow-SAP-Router-to-Hochbonue01;;Ref: Port-3389 TCP  3389;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;Ref: h-10.113.31.15-hocbonue01 10.113.31.15;Any ;Always ;No-Shaping ;Default ;
81;Pass Client;Allow-SAP-Router-to-Hochbald-SAP-Server;;Ref: Port-8000 , Ref: Port-8001 , Ref: Port-8002 , Ref: Port-44300 TCP  44300, TCP  8000, TCP  8001, TCP  8002;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;Ref: h-10.113.31.164-howsapp01.hochwald.de 10.113.31.164;Any ;Always ;No-Shaping ;Default ;
82;Pass Client;Allow-SAP-Router-to-BLK-SAP-Server;;TCP  7269 , TCP  3213 , TCP  3313 , TCP  50013;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;10.113.39.167 , 10.113.39.166;Any ;Always ;No-Shaping ;Default ;
83;Pass Client;Allow-SAP-Router-to-Blksappcs-und-Blksapqcs;;TCP  7269 , TCP  1090 , TCP  1095;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;Ref: h-10.113.39.158-Blksappcs , Ref: h-10.113.39.159-Blksapqcs 10.113.39.158, 10.113.39.159;Any ;Always ;No-Shaping ;Default ;
84;Pass Client;Allow-SAP-Router-to-blksapd02;;TCP  7269 , TCP  3211 , TCP  3311;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;Ref: h-10.113.39.161-blksapd02 10.113.39.161;Any ;Always ;No-Shaping ;Default ;
85;Pass Client;Allow-SAP-Router-to-blksapp02;;TCP  3205 , TCP  3305 , TCP  7269;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;Ref: h-10.113.39.162-blksapp02 10.113.39.162;Any ;Always ;No-Shaping ;Default ;
86;Pass Client;Allow-SAP-Router-to-pumsapp04-and-pumsapk04;;TCP  8531 , TCP  8532;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;10.113.27.169 , 10.113.27.175;Any ;Always ;No-Shaping ;Default ;
87;Pass Client;Allow-SAP-Router-to-dbssapl03;;Ref: SSH TCP  22;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;10.9.1.38 ;Any ;Always ;No-Shaping ;Default ;
88;Pass Client;Allow-SAP-Router-to-Busch-r0000067;;TCP  3214 , TCP  8014 , TCP  44314;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;10.118.14.44 ;Any ;Always ;No-Shaping ;Default ;
89;Pass Client;Allow-SAP-Router-to-Busch-r0000066;;TCP  3212 , TCP  8012 , TCP  44312;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;10.118.14.43 ;Any ;Always ;No-Shaping ;Default ;
90;Pass Client;Allow-SAP-Router-to-Busch-r0000047;;TCP  51600;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;10.118.14.49 ;Any ;Always ;No-Shaping ;Default ;
91;Pass Client;Allow-NFS-from-DMZ-to-Filer-etc;;Ref: nfs , Ref: rpcbind TCP , TCP  2049, UDP  111, UDP  2049;Ref: h-194.145.239.39-loadbalancer-39 , Ref: h-194.145.239.40-con-as000329 , Ref: h-194.145.239.53-ns3.consinto.de , Ref: h-194.145.239.51-tha-as000325 , Ref: h-194.145.239.54-tha-as000326 194.145.239.39, 194.145.239.40, 194.145.239.51, 194.145.239.53, 194.145.239.54;Source: default Destination: default;Ref: h-10.6.16.2-tha-nafiler01 , Ref: h-10.9.1.3-consinto-ezrisc23 , Ref: h-10.1.2.204-tha-as000304 , Ref: h-10.1.7.14-tha-as000318 10.1.2.204, 10.1.7.14, 10.6.16.2, 10.9.1.3;Any ;Always ;No-Shaping ;Default ;
92;Pass Client;Allow-SAPRouter-to-Dokumental-SAP-Server;;Ref: sapdp , Ref: sapgw , TCP  50000 , TCP  51000 , TCP  3210 , TCP  3299 TCP  3200-3299, TCP  3210, TCP  3299, TCP  3300-3399, TCP  50000, TCP  51000;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;Ref: h-10.113.38.160-doksapwod.dokumental.local , Ref: h-10.113.38.161-doksapwop.dokumental.local , Ref: h-10.113.38.162-doksapwoa.dokumental.local , Ref: h-10.113.38.163-doksapwo6.dokumental.local , Ref: h-10.113.38.164-doksapwob.dokumental.local , Ref: h-10.113.38.165-doksapwo8.dokumental.local , Ref: h-10.113.38.166-doksapwon.dokumental.local , Ref: h-10.113.38.167-doksapwom.dokumental.local 10.113.38.160, 10.113.38.161, 10.113.38.162, 10.113.38.163, 10.113.38.164, 10.113.38.165, 10.113.38.166, 10.113.38.167;Any ;Always ;No-Shaping ;Default ;
93;Pass Client;Allow-from-Intranet-Consinto-DMZ-to-Mysql-Server;;Port-3306 TCP  3306;Ref: h-194.145.239.82-OWA-IVG , Ref: h-194.145.239.81-consinto-ASNUE05 194.145.239.81, 194.145.239.82;Source: default Destination: default;g-MySQL-Server 10.9.0.40, 10.9.0.41;Any ;Always ;No-Shaping ;Default ;
94;Pass Client;Allow-DMZ-UC4-Traffic;;TCP  2104 , TCP  2105 , TCP  2217 , TCP  2218 , TCP  2219 , TCP  2220;net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: h-10.1.21.23-tha-as000323 , Ref: h-10.1.21.24-tha-as000324 10.1.21.23, 10.1.21.24;Any ;Always ;No-Shaping ;Default ;
95;Pass Client;Allow-Access-from-DMZ-to-EPO-Consinto;;Port-8443-bis-8444 TCP  8443-8444;net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;h-10.1.21.64-tha-as000364 10.1.21.64;Any ;Always ;No-Shaping ;Default ;
96;Pass Client;Allow-Netcache-to-lila-logistik-auskunft;;TCP  9124;Ref: h-194.145.239.36-tha-as000306-2 , Ref: h-194.145.239.37-tha-as000313-2 194.145.239.36, 194.145.239.37;Source: default Destination: default;Ref: h-84.246.249.34-webserver-lila-logistik 84.246.249.34;Any ;Always ;No-Shaping ;Default ;
97;Pass Client;Allow-ftps-from-DMZ-to-ftps-delphi-com-Hightports;;tcp-highports TCP  1024-65535;Ref: h-194.145.239.78-tha-as000771 , Ref: h-194.145.239.40-con-as000329 , Ref: h-194.145.239.51-tha-as000325 , Ref: h-194.145.239.54-tha-as000326 194.145.239.40, 194.145.239.51, 194.145.239.54, 194.145.239.78;Source: default Destination: default;ftps.delphi.com ;Any ;Always ;No-Shaping ;Default ;
98;Pass Proxydyn;Allow-ftps-from-DMZ-to-ftps-delphi-com;;Ref: FTP , Ref: SSH , Ref: tcp-highports TCP  1024-65535, TCP  21, TCP  22;Ref: h-194.145.239.78-tha-as000771 , Ref: h-194.145.239.40-con-as000329 , Ref: h-194.145.239.51-tha-as000325 , Ref: h-194.145.239.54-tha-as000326 194.145.239.40, 194.145.239.51, 194.145.239.54, 194.145.239.78;Source: default Destination: default;h-216.195.77.146-ftps.delphi.com 216.195.77.146;Any ;Always ;No-Shaping ;Default ;
99;Pass Client;Allow-ftps-from-DMZ-to-delphi-216-195-77-146;;ALL ALLIP, ECHO , TCP  *, TCP  21, TCP  512, TCP  513, TCP  514, UDP  *;Ref: h-194.145.239.78-tha-as000771 , Ref: h-194.145.239.40-con-as000329 , Ref: h-194.145.239.51-tha-as000325 , Ref: h-194.145.239.54-tha-as000326 194.145.239.40, 194.145.239.51, 194.145.239.54, 194.145.239.78;Source: default Destination: default;216.195.77.146 ;Any ;Always ;No-Shaping ;Default ;
100;Pass Client;Allow-DMZ-to-Backupserver;;tcp-highports TCP  1024-65535;Ref: net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: h-10.1.2.170-tha-DPC01 , Ref: h-10.1.2.171-tha-DPS01 , Ref: h-10.1.2.172-tha-DPS02 , Ref: h-10.1.2.173-tha-DPS03 , Ref: h-10.1.2.174-tha-DPI01 10.1.2.170, 10.1.2.171, 10.1.2.172, 10.1.2.173, 10.1.2.174, 192.168.18.170, 192.168.18.171, 192.168.18.172, 192.168.18.173, 192.168.18.174;Any ;Always ;No-Shaping ;Default ;
101;Pass Client;Allow-ssh-von-den-Webservern;;Ref: SSH TCP  22;Ref: h-194.145.239.40-con-as000329 , Ref: h-194.145.239.51-tha-as000325 , Ref: h-194.145.239.54-tha-as000326 , Ref: h-194.145.239.78-tha-as000771 194.145.239.40, 194.145.239.51, 194.145.239.54, 194.145.239.78;Source: default Destination: default;Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Any ;Always ;No-Shaping ;Default ;
102;Pass Client;Allow-NTP-Requests;;NTP UDP  123;Ref: g-Timeserver-DMZ , Ref: h-194.145.239.38-ftp.grundig.de 194.145.239.38, 194.145.239.51, 194.145.239.54;Source: default Destination: default;Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Any ;Always ;No-Shaping ;Default ;
103;Pass Client;Allow-NTP-from-World-to-NTP-Timeserver;;NTP UDP  123;Ref: net-194-145-239-224-INET-Netz , Ref: Private 10 , Ref: Private 172 , Ref: Private 192 , Ref: World , NOT 10.113.33.0/24 0.0.0.0/0, 10.0.0.0/8, 172.16.0.0/12, 192.168.0.0/16, 194.145.239.224/27, NOT 10.113.33.0/24;Source: default Destination: default;Ref: g-Timeserver-DMZ 194.145.239.51, 194.145.239.54;Any ;Always ;No-Shaping ;Default ;
104;Pass Client;Allow-MYSQL-Access-from-DMZ-to-MYSQL-Server;;Port-3306 TCP  3306;net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;g-MySQL-Server 10.9.0.40, 10.9.0.41;Any ;Always ;No-Shaping ;Default ;
105;Pass Client;Allow-SQL-Access-from-DMZ-to-Oracle-DB-Server;;Ref: SqlNet1 , Ref: sqlnet2 TCP  1521, TCP  1525, TCP  1526;net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;g-DB-Server 10.1.7.12, 10.1.7.14;Any ;Always ;No-Shaping ;Default ;
106;Pass Client;Allow-Direkt-SMTP-Access;;Ref: SMTP TCP  25;Ref: net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: World 0.0.0.0/0;Any ;Always ;No-Shaping ;Default ;
107;Pass Client;Allow-lnn4-notes-Access;;lotus TCP  1352;h-194.145.239.73-tha-lnn__4.thales-ims.de 194.145.239.73;Source: default Destination: default;Ref: h-10.9.20.11-consinto-lnsu_1 , Ref: h-10.9.20.12-consinto-lnsu_2 , Ref: net-10-9-0-Consinto-Server-Nbg 10.9.0.0/24, 10.9.20.11, 10.9.20.12;Any ;Always ;No-Shaping ;Default ;
108;Pass Client;Allow-Webshield-to-Syslogserver;;SYSLOG UDP  514;g-Webshield 194.145.239.61, 194.145.239.62, 194.145.239.63;Source: default Destination: default;Ref: h-10.1.7.4-tha-as000334 , Ref: h-10.9.0.43-consinto-as000334 10.1.7.4, 10.9.0.43;Any ;Always ;No-Shaping ;Default ;
109;Pass Client;Allow-Webshieldhosts-to-Internet;;Ref: HTTP+S , Ref: SMTP , Ref: POP3 , Ref: FTP , TCP  81 , Ref: DNS , Ref: DNS-TCP , Ref: LDAP , Ref: tcp-highports TCP  1024-65535, TCP  110, TCP  21, TCP  25, TCP  389, TCP  443, TCP  53, TCP  80, TCP  81, UDP  389, UDP  53;Ref: g-Webshield , Ref: h-194.145.239.25-smtp.thales-ims.de , Ref: h-194.145.239.76-as000337.thales-ims.de-ftp-Proxy , Ref: h-194.145.239.21-ftp-proxy-test.thales-ims.de 194.145.239.21, 194.145.239.25, 194.145.239.61, 194.145.239.62, 194.145.239.63, 194.145.239.76;Source: default Destination: default;Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Any ;Always ;No-Shaping ;Default ;
110;Pass Client;Allow-Citrix-DMZ-to-Citrix-Kunden-Server;;Ref: winframe , Ref: Port-2598 TCP  1494, TCP  2598;g-Citrix-DMZ 194.145.239.5, 194.145.239.58, 194.145.239.7;Source: default Destination: default;Ref: net-10-1-13-Citrix-Server , Ref: g-Citrix-Delphi , Ref: h-10.113.1.21-bpt-nbg-bptsnue01 , Ref: h-10.113.1.22-bpt-nbg-bptsnue02 , Ref: h-10.112.36.116-MWITSNUE01 , Ref: h-10.9.0.131-consinto-Citrix-Server , Ref: h-10.9.254.101-CONDEMOTSNUE01 , Ref: h-10.9.254.102-CONDEMOTSNUE02 , Ref: h-10.112.36.52-MWITSNUE02 , Ref: h-10.112.36.144-MWIDDCNUE01.gmc-instruments.com , Ref: h-10.112.36.145-MWIvdaNUE01.gmc-instruments.com 10.1.13.0/24, 10.112.36.116, 10.112.36.144, 10.112.36.145, 10.112.36.52, 10.113.1.21, 10.113.1.22, 10.238.216.230, 10.238.216.231, 10.9.0.131, 10.9.254.101, 10.9.254.102;Any ;Always ;No-Shaping ;Default ;
111;Pass Client;Allow-cloud-datagroup-de-to-Citrix-Server-Intern;;Ref: HTTP , Ref: HTTPS TCP  443, TCP  80;h-194.145.239.5-cloud.datagroup-bs.de 194.145.239.5;Source: default Destination: default;g-Citrix-Datagroup-Terminalserver 10.1.13.1, 10.1.13.2, 10.9.10.101, 10.9.10.102;Any ;Always ;No-Shaping ;Default ;
112;Pass Client;Allow-Proxies-WebCitrix-to-World;;Ref: winframe TCP  1494;Ref: h-194.145.239.36-tha-as000306-2 , Ref: h-194.145.239.37-tha-as000313-2 194.145.239.36, 194.145.239.37;Source: default Destination: default;World 0.0.0.0/0;Any ;Always ;No-Shaping ;Default ;
113;Pass Client;Allow-SAP-from-Webservers-to-Portal;;TCP  50000;Ref: h-194.145.239.51-tha-as000325 , Ref: h-194.145.239.54-tha-as000326 , Ref: h-194.145.239.44-tha-as000756 , Ref: g-Consinto-Loadbalancer , Ref: h-194.145.239.33-con-as000326 194.145.239.100, 194.145.239.101, 194.145.239.102, 194.145.239.33, 194.145.239.44, 194.145.239.51, 194.145.239.54;Source: default Destination: default;Ref: h-10.1.2.5-tha-thademo02-int , Ref: h-10.49.150.201-gim-as000635 , Ref: h-10.1.6.110-tha-as000631 10.1.2.5, 10.1.6.110, 10.49.150.201;Any ;Always ;No-Shaping ;Default ;
